index,year,region_id,region,crops_affected_by_disasters
190,2012,5,Ayacucho,0
191,2012,6,Cajamarca,4
192,2012,7,Callao,0
193,2012,8,Cusco,1487
194,2012,9,Huancavelica,36
195,2012,10,Huanuco,379
196,2012,11,Ica,0
197,2012,12,Junin,745
198,2012,13,La Libertad,0
199,2012,14,Lambayeque,204
200,2012,15,Lima,89
201,2012,16,Loreto,26408
202,2012,17,Madre de Dios,0
203,2012,18,Moquegua,132
204,2012,19,Pasco,14176
205,2012,20,Piura,89
206,2012,21,Puno,0
207,2012,22,San Martin,17
208,2012,23,Tacna,0
209,2012,24,Tumbes,506
210,2012,25,Ucayali,0
211,2013,0,Nacional,12960
212,2013,1,Amazonas,17
213,2013,2,Ancash,11
214,2013,3,Apurimac,68
215,2013,4,Arequipa,130
216,2013,5,Ayacucho,47
217,2013,6,Cajamarca,3
218,2013,7,Callao,0
219,2013,8,Cusco,3505
220,2013,9,Huancavelica,69
221,2013,10,Huanuco,2539
222,2013,11,Ica,0
223,2013,12,Junin,108
224,2013,13,La Libertad,4
225,2013,14,Lambayeque,0
226,2013,15,Lima,0
227,2013,16,Loreto,3597
228,2013,17,Madre de Dios,0
229,2013,18,Moquegua,29
230,2013,19,Pasco,2
231,2013,20,Piura,4
232,2013,21,Puno,1606
233,2013,22,San Martin,324
234,2013,23,Tacna,0
235,2013,24,Tumbes,0
236,2013,25,Ucayali,897
237,2014,0,Nacional,19692
238,2014,1,Amazonas,0
239,2014,2,Ancash,12
240,2014,3,Apurimac,83
241,2014,4,Arequipa,399
242,2014,5,Ayacucho,358
243,2014,6,Cajamarca,0
244,2014,7,Callao,0
245,2014,8,Cusco,451
246,2014,9,Huancavelica,332
247,2014,10,Huanuco,0
248,2014,11,Ica,0
249,2014,12,Junin,67
250,2014,13,La Libertad,814
251,2014,14,Lambayeque,0
252,2014,15,Lima,0
253,2014,16,Loreto,11710
254,2014,17,Madre de Dios,431
255,2014,18,Moquegua,0
256,2014,19,Pasco,643
257,2014,20,Piura,5
258,2014,21,Puno,4385
259,2014,22,San Martin,0
260,2014,23,Tacna,0
261,2014,24,Tumbes,0
262,2014,25,Ucayali,2
263,2015,0,Nacional,25311
264,2015,1,Amazonas,56
265,2015,2,Ancash,50
266,2015,3,Apurimac,1079
267,2015,4,Arequipa,0
268,2015,5,Ayacucho,2519
269,2015,6,Cajamarca,950
270,2015,7,Callao,0
271,2015,8,Cusco,1395
272,2015,9,Huancavelica,275
273,2015,10,Huanuco,0
274,2015,11,Ica,20
275,2015,12,Junin,476
276,2015,13,La Libertad,2
277,2015,14,Lambayeque,0
278,2015,15,Lima,5
279,2015,16,Loreto,14986
280,2015,17,Madre de Dios,147
281,2015,18,Moquegua,156
282,2015,19,Pasco,68
283,2015,20,Piura,140
284,2015,21,Puno,1103
285,2015,22,San Martin,507
286,2015,23,Tacna,236
287,2015,24,Tumbes,1100
288,2015,25,Ucayali,41
289,2016,0,Nacional,95957
290,2016,1,Amazonas,5009
